last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Wojciechowski, Asher,R,79.9,,33.5,86.2,,65,
Carpenter, Ryan,L,79.8,86.6,,83.8,,27.5,87.3
Voth, Austin,R,79.8,,,63.5,,35.1,63.5
May, Dustin,R,79.7,91.5,26.4,,,,72.3
Johnson, Brian,L,79.7,,,,,60.9,84.2
Iglesias, Raisel,R,79.7,86.5,,87.4,,49.7,
Romo, Sergio,R,79.6,91,,94.9,,70.9,
Collins, Tim,L,79.6,,,,,42.4,88.9
Gibson, Kyle,R,79.5,88.2,,78.5,,30.7,56.7
Taylor, Josh,L,79.5,86.5,,,,24.8,
Velasquez, Vince,R,79.5,76,,,,29.2,58.3
Minaya, Juan,R,79.4,,,73.3,,15.1,24.2
Wilkerson, Aaron,R,79.4,,,76.6,,30,90.2
Soria, Joakim,R,79.3,82.2,,70.7,,62,98.6
Bedrosian, Cam,R,79.3,,,,,33.4,
Alcantara, Sandy,R,79.3,88.2,,84.9,,22.5,38.6
Castillo, Diego,R,79.3,92.1,,,,29.2,
Guduan, Reymin,L,79.3,,,,,20.9,
Sánchez, Aníbal,R,79.2,90,54.4,69,,32.3,28.1
Kelley, Shawn,R,79.2,,,,,33.3,
Bolaños, Ronald,R,79.1,82.9,,,,32.8,68.9
Armenteros, Rogelio,R,79.1,,,86.7,,,45.1
Blevins, Jerry,L,78.9,,,74.2,,,76.4
Margevicius, Nick,L,78.9,,,54.9,,24,72.5
Cahill, Trevor,R,78.9,85.3,20,76.1,,,71.8
Romano, Jordan,R,78.9,,,,,28.2,
Hudson, Daniel,R,78.9,87.7,,95.8,,16.4,
Quintana, José,L,78.8,91.3,,77.9,,,59.8
Cueto, Johnny,R,78.8,81.2,,58.8,,19.8,
Pérez, Cionel,L,78.7,,,,,57.8,
Stock, Robert,R,78.6,,,,,63.4,
Sherfy, Jimmie,R,78.6,,,78.1,,46.8,43.6
Armstrong, Shawn,R,78.5,,45.1,,,58.3,
Anderson, Tanner,R,78.5,71.9,,87.3,,10.9,
Nova, Iván,R,78.5,89.1,37,87.7,,,39.7
Chen, Wei-Yin,L,78.4,86.4,,73.9,,38,71.6
Peters, Dillon,L,78.4,85.3,,82.2,,22.3,70.1
Underwood Jr., Duane,R,78.4,,,81.4,,,70.4
Norris, Daniel,L,78.3,80.9,,69.1,,26.7,78.5
Skaggs, Tyler,L,78.3,,,71.3,,,92.3
Kahnle, Tommy,R,78.3,,,86.2,,41.4,
Samardzija, Jeff,R,78.3,85.6,48,,,30.3,60
Graterol, Brusdar,R,78.3,83.4,,,,44.2,
Familia, Jeurys,R,78.2,90.3,,,,17.5,
Suarez, José,L,78.2,,,58.4,,20.4,61.1
Johnson, DJ,R,78.2,,,,,,61.5
