"","pitch_type","year","name","percentile"
"467","FF","2015","Atchison, Scott",40.2489626556017
"468","SL","2015","Atchison, Scott",26.4026402640264
"469","CH","2015","Avilán, Luis",85.9649122807018
"470","CH","2016","Avilán, Luis",67.8733031674208
"471","CH","2017","Avilán, Luis",69.6969696969697
"472","CH","2018","Avilán, Luis",62.5570776255708
"473","CH","2019","Avilán, Luis",73.5930735930736
"474","CU","2018","Avilán, Luis",58.0508474576271
"475","FF","2015","Avilán, Luis",70.746887966805
"476","SI","2015","Avilán, Luis",78.3050847457627
"477","SI","2017","Avilán, Luis",78.816199376947
"478","SI","2018","Avilán, Luis",63.0281690140845
"479","SI","2019","Avilán, Luis",56.6901408450704
"480","CU","2015","Axford, John",14.2857142857143
"481","CU","2016","Axford, John",2.16450216450216
"482","CU","2018","Axford, John",7.20338983050847
"483","FF","2015","Axford, John",81.9502074688797
"484","FF","2016","Axford, John",83.1275720164609
"485","FF","2017","Axford, John",27.8008298755187
"486","FF","2018","Axford, John",52.9652351738241
"487","SI","2017","Axford, John",40.1869158878505
"488","SI","2018","Axford, John",25.3521126760563
"489","SL","2015","Axford, John",22.4422442244224
"490","SL","2016","Axford, John",11.4864864864865
"491","CH","2016","Báez, Pedro",18.0995475113122
"492","CH","2017","Báez, Pedro",61.038961038961
"493","CH","2018","Báez, Pedro",82.648401826484
"494","CH","2019","Báez, Pedro",93.9393939393939
"495","FF","2015","Báez, Pedro",59.3360995850622
"496","FF","2016","Báez, Pedro",91.9753086419753
"497","FF","2017","Báez, Pedro",93.3609958506224
"498","FF","2018","Báez, Pedro",90.3885480572597
"499","FF","2019","Báez, Pedro",73.8791423001949
"500","SI","2015","Báez, Pedro",77.9661016949153
"501","SI","2016","Báez, Pedro",65.7342657342657
"502","SI","2017","Báez, Pedro",55.7632398753894
"503","SI","2018","Báez, Pedro",53.8732394366197
"504","SL","2015","Báez, Pedro",42.2442244224422
"505","SL","2016","Báez, Pedro",40.2027027027027
"506","SL","2017","Báez, Pedro",47.0404984423676
"507","SL","2018","Báez, Pedro",51.219512195122
"508","SL","2019","Báez, Pedro",54.957507082153
"509","FF","2018","Báez, Sandy",35.5828220858896
"510","CH","2015","Bañuelos, Manny",13.5964912280702
"511","CU","2022","Bañuelos, Manny",86.1751152073733
"512","FF","2015","Bañuelos, Manny",49.5850622406639
"513","FF","2019","Bañuelos, Manny",25.5360623781676
"514","FF","2022","Bañuelos, Manny",37.1549893842887
"515","SI","2019","Bañuelos, Manny",47.1830985915493
"516","SI","2022","Bañuelos, Manny",36.426116838488
"517","SL","2019","Bañuelos, Manny",32.0113314447592
"518","SL","2022","Bañuelos, Manny",14.9509803921569
"519","FS","2015","Badenhop, Burke",13.3333333333333
"520","SI","2015","Badenhop, Burke",15.5932203389831
"521","SL","2015","Badenhop, Burke",73.9273927392739
"522","CH","2019","Baez, Michel",53.6796536796537
"523","FF","2019","Baez, Michel",73.4892787524366
"524","CU","2016","Bailey, Andrew",40.2597402597403
"525","FC","2016","Bailey, Andrew",56.043956043956
"526","FF","2016","Bailey, Andrew",43.8271604938272
"527","FF","2016","Bailey, Homer",30.4526748971193
"528","FF","2017","Bailey, Homer",4.77178423236515
"529","FF","2018","Bailey, Homer",1.43149284253579
"530","FF","2019","Bailey, Homer",30.9941520467836
"531","FS","2017","Bailey, Homer",42.8571428571429
"532","FS","2018","Bailey, Homer",13.7931034482759
"533","FS","2019","Bailey, Homer",86.6666666666667
"534","CU","2018","Bailey, Homer",45.3389830508475
