year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,Schmidt, Clarke,657376,R,SI,33,93,2351,15.5,0.7153209266691523,0.66192838180699,146.7010636913521,116.04970803363273,Sinker,66,60,135,30.651355657719364,30.651355657719364,-75,1,0,2,15,1,15,1:00,2:15,-1H 15M
,Sandoval, Patrick,663776,L,SI,267,93.3,1884,17.8,0.9128543080093409,0.8645653811493992,200.96535997068617,226.15365539357597,Sinker,86,675,630,-25.18829542288981,25.188295422889816,45,11,15,10,30,0,45,11:15,10:30,+0H 45M
,Fedde, Erick,607200,R,SI,998,93.8,1880,14,0.7153168301784706,0.7528517229996277,158.73736782924883,132.52282433381282,Sinker,75,765,90,26.214543495436004,26.21454349543602,-45,12,45,1,30,0,45,12:45,1:30,-0H 45M
,Lobstein, Kyle,543456,L,SI,10,91.4,2120,19,0.9270951584276577,0.9110162098550085,240.47750620474224,260.2427950903822,Sinker,91,600,555,-19.765288885639933,19.76528888563989,45,10,0,9,15,0,45,10:00,9:15,+0H 45M
,Loáisiga, Jonathan,642528,R,SI,594,98.3,2346,19.7,0.9312610757145487,0.8859180132917591,149.0661168879576,124.02833079058058,Sinker,89,60,105,25.037786097377023,25.037786097376994,-45,1,0,1,45,0,45,1:00,1:45,-0H 45M
,Williams, Taylor,592865,R,SI,46,93.8,2280,16.9,0.7916088663948178,0.7052751066059056,129.8876284788712,94.1433039057935,Sinker,71,105,165,35.74432457307769,35.74432457307771,-60,1,45,2,45,1,0,1:45,2:45,-1H 00M
,Williams, Trevor,592866,R,SI,177,89.2,1946,14.4,0.7171649054952023,0.7291657400193652,144.44394979143618,109.25021670741363,Sinker,73,75,135,35.193733084022554,35.19373308402253,-60,1,15,2,15,1,0,1:15,2:15,-1H 00M
,Bleier, Richard,542947,L,SI,400,90,1988,16.1,0.790385029368211,0.8166623589961939,230.11921660677126,262.6717321543595,Sinker,82,615,555,-32.55251554758826,32.552515547588264,60,10,15,9,15,1,0,10:15,9:15,+1H 00M
,Osich, Josh,592612,L,SI,14,93.6,2332,16.1,0.7730101391230269,0.7849861919818525,223.85737480910666,252.0685166181337,Sinker,78,630,570,-28.211141809027055,28.211141809027044,60,10,30,9,30,1,0,10:30,9:30,+1H 00M
,Iglesias, Raisel,628452,R,SI,100,96.7,2377,19.5,0.9115743582654582,0.9086192911726011,129.62425490495133,125.12176441154016,Sinker,91,105,105,4.502490493411173,4.502490493411176,0,1,45,1,45,0,0,1:45,1:45, 0H 00M
,Chavez, Jesse,445926,R,SI,185,91.2,2005,18.5,0.9331324846428446,0.9323110725931313,133.65901378659103,113.2722208514137,Sinker,93,90,135,20.386792935177326,20.386792935177336,-45,1,30,2,15,0,45,1:30,2:15,-0H 45M
,Abad, Fernando,472551,L,SI,139,92.4,2145,18.4,0.8813588152879568,0.9121583345840729,209.37933820867784,229.2074812057509,Sinker,91,660,615,-19.82814299707306,19.82814299707307,45,11,0,10,15,0,45,11:00,10:15,+0H 45M
,Urías, Julio,628711,L,SI,24,93.9,2489,17.9,0.8293199068361379,0.806600060512629,219.1054250495521,210.4934401967221,Sinker,81,645,660,8.611984852830005,8.611984852829995,-15,10,45,11,0,0,15,10:45,11:00,-0H 15M
,May, Dustin,669160,R,SI,140,97.7,2355,21.2,0.9768030420757478,0.9055966157303045,130.3440852400376,111.90076093168078,Sinker,91,105,135,18.44332430835682,18.443324308356836,-30,1,45,2,15,0,30,1:45,2:15,-0H 30M
,Peacock, Matt,676840,R,SI,837,93.3,2044,18.1,0.9089696752665068,0.9431859189039994,124.26242091609703,105.06507753412708,Sinker,94,105,150,19.197343381969944,19.197343381969944,-45,1,45,2,30,0,45,1:45,2:30,-0H 45M
,Bruihl, Justin,677865,L,SI,28,90.4,2175,14.6,0.7190894388766754,0.6999675036220562,221.87277810411726,255.65661631355,Sinker,70,630,570,-33.78383820943273,33.78383820943272,60,10,30,9,30,1,0,10:30,9:30,+1H 00M
