"","player","pitch_type","year","rank","perc","sim_player"
"239",571476,"FF","2017","first","96.0975171779107",607216
"240",571476,"FF","2018","first","95.8857644984131",669952
"241",670280,"FF","2021","first","97.1698682180236",605154
"242",670280,"FF","2022","first","97.8663418959513",605154
"243",592135,"FF","2015","first","96.5778910802076",668665
"244",592135,"FF","2016","first","96.4595931284661",608678
"245",592135,"FF","2017","first","97.4517108222502",669952
"246",592135,"FF","2018","first","96.5483697360698",681806
"247",592135,"FF","2019","first","96.9457882526047",681806
"248",592135,"FF","2021","first","96.6348932766999",668665
"249",595881,"FF","2019","first","96.0823723927395",450203
"250",595881,"FF","2022","first","98.7119716942663",592351
"251",656222,"FF","2018","first","95.3394769909092",656986
"252",656222,"FF","2019","first","95.5407864759806",663776
"253",656222,"FF","2022","first","96.068453315104",669022
"254",346847,"FF","2015","first","95.5915578120848",572125
"255",279571,"FF","2015","first","95.2539195597563",621295
"256",279571,"FF","2016","first","95.8428464833758",621295
"257",279571,"FF","2017","first","95.5130257307064",621295
"258",279571,"FF","2018","first","94.9482826329673",622503
"259",542924,"FF","2017","first","92.3983687515228",660761
"260",571479,"FF","2015","first","95.0599009212211",502202
"261",571479,"FF","2022","first","97.7214199541288",547179
"262",678394,"FF","2022","first","96.7420969677549",666374
"263",605138,"FF","2021","first","96.9817923924288",542881
"264",276542,"FF","2015","first","96.1666325410479",592332
"265",276542,"FF","2016","first","96.0020508666548",592332
"266",276542,"FF","2017","first","96.5155993954653",665152
"267",664157,"FF","2019","first","94.7202476442877",676050
"268",664157,"FF","2021","first","95.618329040102",621381
"269",548357,"FF","2015","first","93.7847505794673",605200
"270",548357,"FF","2016","first","94.6785670829667",456501
"271",621244,"FF","2016","first","97.4616289936185",675627
"272",621244,"FF","2017","first","96.6199960878558",665152
"273",621244,"FF","2018","first","96.316831306927",571670
"274",621244,"FF","2019","first","96.5274351100862",621107
"275",621244,"FF","2021","first","96.6469985341109",453286
"276",621244,"FF","2022","first","96.9934524568702",621107
"277",476454,"FF","2015","first","96.8428883385069",656730
"278",476454,"FF","2016","first","95.9524350345142",656730
"279",476454,"FF","2017","first","97.0100695959506",656730
"280",476454,"FF","2018","first","95.8669287741511",656730
"281",429783,"FF","2015","first","93.9067729913812",669330
"282",676424,"FF","2021","first","95.7174440392526",502179
"283",518452,"FF","2015","first","94.4554558558801",501381
"284",518452,"FF","2016","first","93.8711038332166",659262
"285",518452,"FF","2017","first","92.9723009975905",425844
"286",518452,"FF","2018","first","91.9723270420016",641712
"287",518452,"FF","2019","first","94.6648790282281",592346
"288",607352,"FF","2016","first","94.5584026339627",656412
"289",607352,"FF","2017","first","95.787307805182",642545
"290",607352,"FF","2019","first","94.4310773224938",623167
"291",502212,"FF","2017","first","96.8215918753707",650530
"292",502212,"FF","2018","first","95.0504499627949",456501
"293",641360,"FF","2021","first","95.7923206967877",642203
"294",641360,"FF","2022","first","95.7197899359068",666201
"295",592145,"FF","2018","first","95.3128428594731",657006
"296",592145,"FF","2019","first","94.5573066462123",657006
"297",669456,"FF","2018","first","96.6743967959978",471911
"298",669456,"FF","2019","first","97.4631294359432",572193
"299",669456,"FF","2021","first","97.8258101680023",641816
