"","player","pitch_type","year","rank","perc","sim_player"
"341",542960,"FF","2015","first","97.1522694587707",475479
"342",542960,"FF","2016","first","97.4252270051524",645261
"343",542960,"FF","2017","first","97.4093398092195",645261
"344",542960,"FF","2018","first","97.3384557861061",605541
"345",542960,"FF","2019","first","96.3966226046838",475857
"346",542960,"FF","2021","first","96.432069802943",571670
"347",611093,"FF","2015","first","97.0351963432523",624522
"348",611093,"FF","2016","first","97.1805767462271",448178
"349",611093,"FF","2017","first","96.847390156977",608371
"350",611093,"FF","2018","first","96.9273972920686",663423
"351",607473,"FF","2017","first","95.0017499507624",448614
"352",607473,"FF","2018","first","95.0669086489265",448614
"353",680694,"FF","2022","first","96.2877670452994",593140
"354",605151,"FF","2015","first","97.3048545779367",656546
"355",605151,"FF","2016","first","97.2872071912921",407793
"356",605151,"FF","2017","first","97.3745904608691",665795
"357",605151,"FF","2018","first","97.8931393844788",592314
"358",605151,"FF","2019","first","97.5124031446865",671790
"359",605151,"FF","2021","first","98.3685622457784",675921
"360",572728,"FF","2017","first","96.5712018328109",663485
"361",666374,"FF","2022","first","96.8693500185672",678394
"362",518489,"FF","2018","first","97.7550705350627",594798
"363",518489,"FF","2019","first","97.7256279576189",594798
"364",518489,"FF","2021","first","97.4670019404606",600921
"365",518489,"FF","2022","first","97.8746639986621",608335
"366",643230,"FF","2016","first","95.9237869745892",500779
"367",643230,"FF","2017","first","96.2092757176836",518516
"368",643230,"FF","2018","first","96.1071411819616",607536
"369",643230,"FF","2019","first","96.2378506380326",453192
"370",643230,"FF","2021","first","95.0161493732981",605488
"371",623211,"FF","2022","first","96.6778229620359",545064
"372",605154,"FF","2017","first","98.0632923410109",642121
"373",605154,"FF","2018","first","98.1331067336045",552640
"374",605154,"FF","2019","first","97.2744444303603",642121
"375",605154,"FF","2021","first","97.6794759130738",641816
"376",605154,"FF","2022","first","98.2057035212814",641816
"377",641394,"FF","2021","first","95.8626530676786",664076
"378",444520,"FF","2015","first","96.540908852053",612672
"379",592169,"FF","2018","first","95.9154232379234",641627
"380",592169,"FF","2019","first","92.8943859379022",622103
"381",592169,"FF","2021","first","91.9086917445695",592130
"382",592170,"FF","2017","first","96.3146625586029",605397
"383",689225,"FF","2022","first","97.7965057652413",664062
"384",502010,"FF","2015","first","97.0927130453644",656798
"385",656257,"FF","2018","first","97.7278099999632",456501
"386",656257,"FF","2019","first","98.0501567911799",656186
"387",656257,"FF","2022","first","98.2616316459523",594577
"388",458678,"FF","2015","first","97.0517041946871",622491
"389",641401,"FF","2021","first","97.7702136617997",670280
"390",641401,"FF","2022","first","97.0447282882605",670280
"391",605156,"FF","2015","first","97.2163999793656",516970
"392",605156,"FF","2019","first","97.7496025296404",543699
"393",571521,"FF","2017","first","97.0608908150598",621368
"394",571521,"FF","2021","first","97.8724197917264",606424
"395",686613,"FF","2022","first","97.871286472244",663158
"396",455009,"FF","2015","first","97.0876286476967",608379
"397",455009,"FF","2016","first","98.1172569333841",502026
"398",455009,"FF","2017","first","97.493538285687",605242
"399",664141,"FF","2021","first","96.9662026225339",502624
"400",664141,"FF","2022","first","96.5051444947195",502624
"401",663460,"FF","2021","first","96.8674246185389",674072
"402",663460,"FF","2022","first","97.3817531254621",674072
"403",571527,"FF","2015","first","97.3856369447523",468504
"404",453329,"FF","2015","first","97.1579491857161",465657
"405",453329,"FF","2016","first","97.691982379744",543935
"406",453329,"FF","2018","first","96.5944166280974",543903
"407",453329,"FF","2019","first","96.8186133513585",444857
"408",488748,"FF","2016","first","96.5717385989854",445197
"409",488748,"FF","2017","first","98.1896418504287",518633
"410",488748,"FF","2018","first","98.2692692651195",518633
"411",488748,"FF","2019","first","98.3612588872567",518633
"412",488748,"FF","2021","first","96.5983128665185",605488
"413",621111,"FF","2017","first","95.4338807895067",453344
"414",621111,"FF","2018","first","96.9810188378289",621052
"415",621111,"FF","2019","first","96.6953359356304",519166
"416",621111,"FF","2021","first","96.9467564132575",663423
"417",621111,"FF","2022","first","97.0510974144584",518489
"418",279824,"FF","2015","first","93.4191701631647",572971
"419",656266,"FF","2021","first","96.4658213099281",458678
"420",518516,"FF","2015","first","96.7846411309708",452657
"421",518516,"FF","2016","first","97.1663665337306",501625
"422",518516,"FF","2017","first","97.4162476576529",452657
"423",518516,"FF","2018","first","95.9817540176695",547943
"424",518516,"FF","2019","first","97.1015173868106",666129
"425",518516,"FF","2021","first","97.0866831854172",501625
"426",518516,"FF","2022","first","97.9059780041948",452657
"427",605164,"FF","2016","first","96.9654543685434",532077
"428",605164,"FF","2017","first","96.8566114987271",456068
"429",605164,"FF","2018","first","97.6059357553238",456068
"430",605164,"FF","2019","first","95.9417108660946",543331
"431",605164,"FF","2021","first","96.6887753503473",592804
"432",605164,"FF","2022","first","96.529991116708",571666
"433",542609,"FF","2015","first","96.4151113103145",488984
"434",542609,"FF","2016","first","97.621487353301",488984
"435",656271,"FF","2019","first","95.8807992426412",571578
"436",656271,"FF","2022","first","96.4759367130255",663556
"437",669203,"FF","2018","first","94.2739318444091",572070
"438",669203,"FF","2019","first","94.8161149118705",605218
"439",150359,"FF","2015","first","96.7772755291417",543903
"440",621114,"FF","2018","first","95.8125329475719",446099
"441",621114,"FF","2019","first","95.9121265285343",446099
"442",621114,"FF","2021","first","95.6586137602997",608379
"443",663366,"FF","2021","first","97.5808412697196",547749
"444",641427,"FF","2017","first","97.0989816676795",593576
"445",641427,"FF","2018","first","96.8621874398955",656605
"446",456713,"FF","2016","first","95.3892845899171",600917
"447",456713,"FF","2017","first","96.7830278290214",641341
"448",456713,"FF","2018","first","96.5060280209131",621111
"449",456713,"FF","2022","first","95.9088273447472",641341
"450",572750,"FF","2015","first","97.6775984377131",475857
"451",572750,"FF","2016","first","96.9145118485647",592781
"452",572750,"FF","2017","first","97.2994005731281",543408
"453",572750,"FF","2018","first","97.0882104584618",543408
"454",621142,"FF","2018","first","97.0282323004931",425492
"455",621142,"FF","2019","first","96.7955834224799",543135
"456",665795,"FF","2021","first","98.1314076516684",656638
"457",665795,"FF","2022","first","97.9391485470606",656638
"458",650893,"FF","2019","first","97.6202725125527",519294
"459",650893,"FF","2021","first","96.4143207642863",669674
"460",650893,"FF","2022","first","97.7002873770606",669674
"461",606291,"FF","2016","first","95.7689590371474",608638
"462",502239,"FF","2016","first","98.1801647439652",640444
"463",502239,"FF","2019","first","96.8305776313953",543903
"464",430912,"FF","2015","first","96.2501883576196",502202
"465",430912,"FF","2016","first","95.9085066352374",608371
"466",430912,"FF","2017","first","95.3222288035753",607259
"467",491708,"FF","2015","first","96.613897954669",623395
"468",491708,"FF","2016","first","96.7643106782366",592815
"469",669294,"FF","2021","first","97.6103146341141",543331
"470",599998,"FF","2016","first","96.5787325900592",502624
"471",599998,"FF","2017","first","96.2077273221537",457915
"472",656288,"FF","2019","first","97.4414834750226",607259
"473",656288,"FF","2021","first","97.9372359976863",669169
"474",605169,"FF","2015","first","94.0305693356849",621242
"475",605169,"FF","2017","first","93.2306474670065",642207
"476",641438,"FF","2018","first","97.4998018913661",592332
"477",502304,"FF","2015","first","97.5975832915697",543037
"478",543001,"FF","2018","first","95.3270930873887",571578
"479",543001,"FF","2019","first","95.7800622730729",456034
"480",471911,"FF","2015","first","98.0173805072249",489294
"481",471911,"FF","2016","first","97.7755432794598",523989
"482",471911,"FF","2017","first","97.5542037829866",456496
"483",471911,"FF","2018","first","97.0925618735743",642098
"484",471911,"FF","2019","first","96.5615856762739",605894
"485",471911,"FF","2021","first","97.1808376002404",642098
"486",471911,"FF","2022","first","97.6904145643254",448855
"487",606944,"FF","2018","first","97.4725944029283",521230
"488",488768,"FF","2015","first","97.2398564736275",518774
"489",488768,"FF","2016","first","97.1282551315798",518774
"490",488768,"FF","2017","first","97.5518556636545",605538
"491",488768,"FF","2018","first","96.6318083530328",572750
"492",488768,"FF","2019","first","96.0115874147815",570666
"493",433586,"FF","2015","first","97.8977842818009",523989
"494",433586,"FF","2016","first","97.4070221940524",523989
"495",433586,"FF","2017","first","97.7416958135968",519322
"496",433586,"FF","2018","first","97.7215470911445",571800
"497",641447,"FF","2021","first","95.8719392619781",641778
"498",528748,"FF","2021","first","95.4272316462533",667498
"499",650895,"FF","2018","first","94.413891485963",592789
"500",620454,"FF","2018","first","96.9722657238283",656354
"501",622491,"FF","2017","first","96.8460038393074",572955
"502",622491,"FF","2018","first","97.1391527862926",458678
"503",622491,"FF","2019","first","95.9924557493648",458678
"504",622491,"FF","2021","first","95.4494390100661",656186
"505",622491,"FF","2022","first","96.2318108734066",656186
"506",666721,"FF","2022","first","97.8599379029307",573589
"507",621593,"FF","2021","first","94.591644564436",605513
"508",621593,"FF","2022","first","95.698800823036",606930
"509",665645,"FF","2021","first","96.9580138330493",650959
"510",665645,"FF","2022","first","95.681152085595",592858
"511",612434,"FF","2015","first","97.0779064451496",520980
"512",612434,"FF","2016","first","97.3093114948808",622554
"513",501563,"FF","2017","first","96.6157344755027",573589
"514",656302,"FF","2019","first","95.3729215039064",593423
"515",656302,"FF","2021","first","96.4363568012315",621052
"516",656302,"FF","2022","first","96.7745413886525",532077
"517",446399,"FF","2015","first","96.026282926828",660906
